File_ID,File_Path,Layer
F_0,core/amx_acceleration.py,Core
F_1,src/ui/module_1.py,Database
F_2,src/ui/module_2.py,UI
F_3,src/middleware/module_3.py,Middleware
F_4,src/ui/module_4.py,Database
F_5,src/ui/module_5.py,Middleware
F_6,src/middleware/module_6.py,Database
F_7,src/auth/module_7.py,API
F_8,src/middleware/module_8.py,API
F_9,src/middleware/module_9.py,UI
F_10,src/middleware/module_10.py,UI
F_11,src/api/module_11.py,Database
F_12,src/database/module_12.py,UI
F_13,src/api/module_13.py,Auth
F_14,src/database/module_14.py,Auth
F_15,src/database/module_15.py,UI
F_16,src/api/module_16.py,API
F_17,src/database/module_17.py,Auth
F_18,src/database/module_18.py,API
F_19,src/api/module_19.py,UI
F_20,src/database/module_20.py,Middleware
F_21,src/ui/module_21.py,UI
F_22,src/middleware/module_22.py,API
F_23,src/api/module_23.py,Database
F_24,src/api/module_24.py,Database
F_25,src/ui/module_25.py,UI
F_26,src/database/module_26.py,Middleware
F_27,src/ui/module_27.py,Auth
F_28,src/middleware/module_28.py,UI
F_29,src/middleware/module_29.py,Middleware
F_30,src/database/module_30.py,UI
F_31,src/middleware/module_31.py,UI
F_32,src/auth/module_32.py,Database
F_33,src/database/module_33.py,Middleware
F_34,src/middleware/module_34.py,UI
F_35,src/ui/module_35.py,API
F_36,src/ui/module_36.py,API
F_37,src/middleware/module_37.py,UI
F_38,src/ui/module_38.py,API
F_39,src/ui/module_39.py,Auth
F_40,src/database/module_40.py,Middleware
F_41,src/auth/module_41.py,Middleware
F_42,src/database/module_42.py,Middleware
F_43,src/middleware/module_43.py,Database
F_44,src/database/module_44.py,UI
F_45,src/database/module_45.py,Auth
F_46,src/database/module_46.py,UI
F_47,src/auth/module_47.py,Middleware
F_48,src/database/module_48.py,API
F_49,src/database/module_49.py,Middleware
F_50,src/database/module_50.py,API
F_51,src/auth/module_51.py,UI
F_52,src/database/module_52.py,Auth
F_53,src/middleware/module_53.py,API
F_54,src/auth/module_54.py,UI
F_55,src/auth/module_55.py,Auth
F_56,src/api/module_56.py,UI
F_57,src/api/module_57.py,API
F_58,src/ui/module_58.py,Auth
F_59,src/middleware/module_59.py,UI
F_60,src/ui/module_60.py,API
F_61,src/ui/module_61.py,Middleware
F_62,src/middleware/module_62.py,UI
F_63,src/api/module_63.py,Database
F_64,src/middleware/module_64.py,API
F_65,src/api/module_65.py,Middleware
F_66,src/database/module_66.py,UI
F_67,src/middleware/module_67.py,Database
F_68,src/ui/module_68.py,API
F_69,src/middleware/module_69.py,Auth
F_70,src/database/module_70.py,Database
F_71,src/database/module_71.py,API
F_72,src/auth/module_72.py,Database
F_73,src/middleware/module_73.py,Auth
F_74,src/database/module_74.py,API
F_75,src/api/module_75.py,API
F_76,src/api/module_76.py,Database
F_77,src/auth/module_77.py,Auth
F_78,src/middleware/module_78.py,API
F_79,src/middleware/module_79.py,Database
F_80,src/database/module_80.py,UI
F_81,src/ui/module_81.py,API
F_82,src/api/module_82.py,Auth
F_83,src/api/module_83.py,Database
F_84,src/api/module_84.py,UI
F_85,src/ui/module_85.py,Middleware
F_86,src/auth/module_86.py,Middleware
F_87,src/auth/module_87.py,Auth
F_88,src/database/module_88.py,Database
F_89,src/database/module_89.py,UI
F_90,src/auth/module_90.py,Database
F_91,src/database/module_91.py,Middleware
F_92,src/auth/module_92.py,UI
F_93,src/middleware/module_93.py,Middleware
F_94,src/ui/module_94.py,UI
F_95,src/database/module_95.py,Middleware
F_96,src/ui/module_96.py,Middleware
F_97,src/auth/module_97.py,Database
F_98,src/api/module_98.py,Auth
F_99,src/api/module_99.py,Database
